"t(s)","ang_vel(rad/s)"
3.470000000E1,-2.050634032E-2
3.480000000E1,-1.198422486E-2
3.490000000E1,2.756371718E-2
3.500000000E1,7.470166829E-2
3.510000000E1,1.416801695E-1
3.520000000E1,1.384843762E-1
3.530000000E1,1.351554248E-1
3.540000000E1,9.853695996E-2
3.550000000E1,3.342267155E-2
3.560000000E1,-3.861583566E-3
3.570000000E1,-2.503371415E-2
3.580000000E1,-5.459480214E-3
3.590000000E1,3.249056518E-2
3.600000000E1,7.523430051E-2
3.610000000E1,1.146490845E-1
3.620000000E1,1.354217409E-1
3.630000000E1,1.483380722E-1
3.640000000E1,1.103880268E-1
3.650000000E1,6.338323370E-2
3.660000000E1,1.984055005E-2
3.670000000E1,3.462109404E-3
3.680000000E1,-2.303634334E-2
3.690000000E1,4.993427025E-2
3.700000000E1,5.246427328E-2
3.710000000E1,1.211738291E-1
3.720000000E1,1.169127714E-1
3.730000000E1,1.434112242E-1
3.740000000E1,9.933590828E-2
3.750000000E1,7.869640991E-2
3.760000000E1,4.114583869E-2
3.770000000E1,7.989483240E-3
3.780000000E1,5.326322160E-3
3.790000000E1,3.888215177E-2
3.800000000E1,5.725796322E-2
3.810000000E1,8.721852537E-2
3.820000000E1,1.106543429E-1
3.830000000E1,1.383512181E-1
3.840000000E1,1.205080389E-1
3.850000000E1,9.014800256E-2
3.860000000E1,4.820321555E-2
3.870000000E1,2.796319134E-2
3.880000000E1,1.531317621E-2
3.890000000E1,5.725796322E-3
3.900000000E1,2.876213966E-2
3.910000000E1,9.574064083E-2
3.920000000E1,1.149154006E-1
3.930000000E1,1.265001513E-1
3.940000000E1,1.049285466E-1
3.950000000E1,1.008006469E-1
3.960000000E1,6.471481424E-2
3.970000000E1,3.568635847E-2
3.980000000E1,3.275688128E-2
3.990000000E1,2.130528864E-2
4.000000000E1,5.126585079E-2
4.010000000E1,7.097324278E-2
4.020000000E1,7.749798743E-2
4.030000000E1,1.226385677E-1
4.040000000E1,1.159806650E-1
4.050000000E1,1.067927593E-1
4.060000000E1,5.472796019E-2
4.070000000E1,5.219795717E-2
4.080000000E1,3.368898766E-2
4.090000000E1,1.012001210E-2
4.100000000E1,4.940163803E-2
4.110000000E1,6.844323976E-2
4.120000000E1,8.588694483E-2
4.130000000E1,8.562062872E-2
4.140000000E1,9.760485358E-2
4.150000000E1,9.574064083E-2
4.160000000E1,7.257113943E-2
4.170000000E1,5.645901490E-2
4.180000000E1,8.588694483E-2
4.190000000E1,3.968110009E-2
4.200000000E1,1.771002118E-2
4.210000000E1,3.475425209E-2
4.220000000E1,6.631271089E-2
4.230000000E1,6.737797532E-2
4.240000000E1,9.041431867E-2
4.250000000E1,1.067927593E-1
4.260000000E1,7.683219716E-2
4.270000000E1,8.309062570E-2
4.280000000E1,4.154531285E-2
4.290000000E1,5.912217598E-2
