"t(s)","ang_vel(rad/s)"
2.150000000E1,-3.390204055E-1
2.160000000E1,-3.888215177E-1
2.170000000E1,-4.725779336E-1
2.180000000E1,-5.430185442E-1
2.190000000E1,-6.147907353E-1
2.200000000E1,-6.707171180E-1
2.210000000E1,-7.337008775E-1
2.220000000E1,-7.675230233E-1
2.230000000E1,-7.753793484E-1
2.240000000E1,-7.546066920E-1
2.250000000E1,-7.291735037E-1
2.260000000E1,-6.645918475E-1
2.270000000E1,-6.202502155E-1
2.280000000E1,-5.320995838E-1
2.290000000E1,-4.740426722E-1
2.300000000E1,-3.950799462E-1
2.310000000E1,-3.181145910E-1
2.320000000E1,-3.094593175E-1
2.330000000E1,-2.956108799E-1
2.340000000E1,-2.779008587E-1
2.350000000E1,-2.817624423E-1
2.360000000E1,-3.153182719E-1
2.370000000E1,-3.234409132E-1
2.380000000E1,-4.029362714E-1
2.390000000E1,-4.334294658E-1
2.400000000E1,-4.604605507E-1
2.410000000E1,-5.331648482E-1
2.420000000E1,-6.161223159E-1
2.430000000E1,-6.480802488E-1
2.440000000E1,-7.173224369E-1
2.450000000E1,-7.325024551E-1
2.460000000E1,-7.073355828E-1
2.470000000E1,-7.030745251E-1
2.480000000E1,-6.953513580E-1
2.490000000E1,-6.210491639E-1
2.500000000E1,-5.824333282E-1
2.510000000E1,-5.267732616E-1
2.520000000E1,-4.531368578E-1
2.530000000E1,-3.956125784E-1
2.540000000E1,-3.275688128E-1
2.550000000E1,-3.599262200E-1
2.560000000E1,-3.122556366E-1
2.570000000E1,-3.070624725E-1
2.580000000E1,-3.067961564E-1
2.590000000E1,-3.279682870E-1
2.600000000E1,-3.759051864E-1
2.610000000E1,-4.091946999E-1
2.620000000E1,-4.442152681E-1
2.630000000E1,-4.942826964E-1
2.640000000E1,-5.792375349E-1
2.650000000E1,-6.147907353E-1
2.660000000E1,-6.693855375E-1
2.670000000E1,-7.037403154E-1
2.680000000E1,-7.088003214E-1
2.690000000E1,-7.267766587E-1
2.700000000E1,-7.038734734E-1
2.710000000E1,-6.415555042E-1
2.720000000E1,-6.685865891E-1
2.730000000E1,-5.303685291E-1
2.740000000E1,-5.283711583E-1
2.750000000E1,-4.531368578E-1
2.760000000E1,-4.291684080E-1
2.770000000E1,-3.840278277E-1
2.780000000E1,-3.422161988E-1
2.790000000E1,-3.532683173E-1
2.800000000E1,-3.316967125E-1
2.810000000E1,-3.573962169E-1
2.820000000E1,-3.711114965E-1
2.830000000E1,-3.937483657E-1
2.840000000E1,-4.261057728E-1
2.850000000E1,-4.619252893E-1
2.860000000E1,-4.998753347E-1
2.870000000E1,-5.696501550E-1
2.880000000E1,-5.965480819E-1
2.890000000E1,-6.416886622E-1
2.900000000E1,-6.842992395E-1
